year,iso3_code,country,region,total_members,n_dois,dois_per_member
2021,FJI,Fiji,East Asia & Pacific,1,32,32
2021,HKG,"Hong Kong, China",East Asia & Pacific,46,78585,1708.3695652173913
2021,IDN,Indonesia,East Asia & Pacific,2236,864264,386.52236135957065
2021,JPN,Japan,East Asia & Pacific,661,2613193,3953.393343419062
2021,KHM,Cambodia,East Asia & Pacific,2,229,114.5
2021,KOR,"Korea, Rep.",East Asia & Pacific,2361,956595,405.1651842439644
2021,LAO,Lao PDR,East Asia & Pacific,1,739,739
2021,MAC,Macao,East Asia & Pacific,1,9,9
2021,MMR,Myanmar,East Asia & Pacific,1,53,53
2021,MNG,Mongolia,East Asia & Pacific,5,1857,371.4
2021,MYS,Malaysia,East Asia & Pacific,105,65228,621.2190476190476
2021,NZL,New Zealand,East Asia & Pacific,45,99792,2217.6
2021,PHL,Philippines,East Asia & Pacific,55,10505,191
2021,SGP,Singapore,East Asia & Pacific,44,524805,11927.386363636364
2021,THA,Thailand,East Asia & Pacific,38,13518,355.7368421052632
2021,TLS,NA,East Asia & Pacific,2,41,20.5
2021,TWN,Taiwan,East Asia & Pacific,26,17631,678.1153846153846
2021,VNM,Vietnam,East Asia & Pacific,69,34552,500.7536231884058
2021,WSM,Samoa,East Asia & Pacific,1,11,11
2021,ALB,Albania,Europe & Central Asia,6,795,132.5
2021,ARM,Armenia,Europe & Central Asia,27,7056,261.3333333333333
2021,AUT,Austria,Europe & Central Asia,53,132791,2505.490566037736
2021,AZE,Azerbaijan,Europe & Central Asia,17,7751,455.94117647058823
2021,BEL,Belgium,Europe & Central Asia,41,222788,5433.8536585365855
2021,BGR,Bulgaria,Europe & Central Asia,45,173277,3850.6
2021,BIH,Bosnia and Herzegovina,Europe & Central Asia,47,14663,311.97872340425533
2021,BLR,Belarus,Europe & Central Asia,26,8876,341.38461538461536
2021,CHE,Switzerland,Europe & Central Asia,97,2759560,28449.072164948455
2021,CYP,Cyprus,Europe & Central Asia,8,21154,2644.25
2021,CZE,Czech Republic,Europe & Central Asia,94,143871,1530.5425531914893
2021,DEU,Germany,Europe & Central Asia,185,4959723,26809.313513513513
